EndDate,RecordedDate,StartDate
End Date,Recorded Date,Start Date
"{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""startDate"",""timeZone"":""America/Denver""}"
2021-04-07 19:58:29,2021-04-07 19:58:30,2021-04-07 18:27:54
2021-04-07 19:59:36,2021-04-07 19:59:36,2021-04-07 18:51:14
2021-04-07 20:01:27,2021-04-07 20:01:27,2021-04-07 18:30:14
2021-04-07 20:01:28,2021-04-07 20:01:29,2021-04-07 18:44:57
2021-04-07 20:03:31,2021-04-07 20:03:32,2021-04-07 19:26:46
2021-04-07 20:03:43,2021-04-07 20:03:43,2021-04-07 19:28:57
2021-04-07 20:06:52,2021-04-07 20:06:53,2021-04-07 19:16:45
2021-04-07 20:06:55,2021-04-07 20:06:56,2021-04-07 19:02:01
2021-04-07 20:10:46,2021-04-07 20:10:46,2021-04-07 18:44:43
2021-04-07 20:12:28,2021-04-07 20:12:29,2021-04-07 18:57:12
2021-04-07 20:12:36,2021-04-07 20:12:37,2021-04-07 19:11:40
2021-04-07 20:14:01,2021-04-07 20:14:02,2021-04-07 19:08:42
2021-04-07 20:16:45,2021-04-07 20:16:46,2021-04-07 19:09:01
2021-04-07 20:17:01,2021-04-07 20:17:02,2021-04-07 18:46:54
2021-04-07 20:17:26,2021-04-07 20:17:26,2021-04-07 19:16:54
2021-04-07 20:20:20,2021-04-07 20:20:21,2021-04-07 19:08:48
2021-04-07 20:23:07,2021-04-07 20:23:08,2021-04-07 19:37:20
2021-04-07 20:26:29,2021-04-07 20:26:29,2021-04-07 19:10:23
2021-04-07 20:27:00,2021-04-07 20:27:00,2021-04-07 19:12:29
2021-04-07 20:30:52,2021-04-07 20:30:53,2021-04-07 19:41:25
2021-04-07 20:31:38,2021-04-07 20:31:39,2021-04-07 19:18:52
2021-04-07 20:32:13,2021-04-07 20:32:14,2021-04-07 19:36:58
2021-04-07 20:33:10,2021-04-07 20:33:11,2021-04-07 19:05:30
2021-04-07 20:34:31,2021-04-07 20:34:32,2021-04-07 19:25:46
2021-04-07 20:35:09,2021-04-07 20:35:09,2021-04-07 19:33:08
2021-04-07 20:36:24,2021-04-07 20:36:24,2021-04-07 18:55:46
2021-03-31 20:36:54,2021-04-07 20:36:57,2021-03-31 20:34:59
2021-04-07 20:36:56,2021-04-07 20:36:57,2021-04-07 19:50:21
2021-03-31 20:37:13,2021-04-07 20:37:17,2021-03-31 20:31:46
2021-03-31 20:37:15,2021-04-07 20:37:18,2021-03-31 20:34:10
2021-04-07 20:37:55,2021-04-07 20:37:56,2021-04-07 19:30:44
2021-04-07 20:37:56,2021-04-07 20:37:57,2021-04-07 19:29:57
2021-03-31 20:39:02,2021-04-07 20:39:04,2021-03-31 20:33:20
2021-04-07 20:40:48,2021-04-07 20:40:49,2021-04-07 18:51:49
2021-03-31 20:40:53,2021-04-07 20:40:54,2021-03-31 20:31:33
2021-04-07 20:42:05,2021-04-07 20:42:06,2021-04-07 19:34:06
2021-04-07 20:43:29,2021-04-07 20:43:30,2021-04-07 19:31:24
2021-04-07 20:44:39,2021-04-07 20:44:40,2021-04-07 18:40:33
2021-04-07 20:44:42,2021-04-07 20:44:43,2021-04-07 18:52:34
2021-04-07 20:45:29,2021-04-07 20:45:30,2021-04-07 19:52:00
2021-04-07 20:47:46,2021-04-07 20:47:47,2021-04-07 20:04:51
2021-04-07 20:50:18,2021-04-07 20:50:19,2021-04-07 19:55:28
2021-04-07 20:53:21,2021-04-07 20:53:22,2021-04-07 19:49:00
2021-04-07 20:55:32,2021-04-07 20:55:33,2021-04-07 19:58:55
2021-04-07 20:56:06,2021-04-07 20:56:06,2021-04-07 19:51:53
2021-04-07 20:56:23,2021-04-07 20:56:23,2021-04-07 20:04:00
2021-04-07 20:57:39,2021-04-07 20:57:39,2021-04-07 20:12:52
2021-04-07 20:58:05,2021-04-07 20:58:06,2021-04-07 19:52:52
2021-04-07 20:58:57,2021-04-07 20:58:58,2021-04-07 18:58:49
2021-04-07 20:59:27,2021-04-07 20:59:28,2021-04-07 20:03:45
2021-03-31 20:59:34,2021-04-07 20:59:41,2021-03-31 20:56:50
2021-04-07 21:02:30,2021-04-07 21:02:30,2021-04-07 19:48:44
2021-04-07 21:03:06,2021-04-07 21:03:07,2021-04-07 20:24:43
2021-04-07 21:03:27,2021-04-07 21:03:28,2021-04-07 20:15:13
2021-03-31 21:10:21,2021-04-07 21:10:22,2021-03-31 20:34:27
2021-04-07 21:10:42,2021-04-07 21:10:43,2021-04-07 18:49:37
2021-04-07 21:10:42,2021-04-07 21:10:43,2021-04-07 19:54:00
2021-04-07 21:13:37,2021-04-07 21:13:37,2021-04-07 19:43:07
2021-04-07 21:13:56,2021-04-07 21:13:56,2021-04-07 20:40:07
2021-04-07 21:14:57,2021-04-07 21:14:59,2021-04-07 20:10:00
2021-04-07 21:15:03,2021-04-07 21:15:04,2021-04-07 19:45:46
2021-04-07 21:15:17,2021-04-07 21:15:18,2021-04-07 19:18:24
2021-04-07 21:16:33,2021-04-07 21:16:34,2021-04-07 19:08:19
2021-04-07 21:16:34,2021-04-07 21:16:34,2021-04-07 20:07:37
2021-04-07 21:20:47,2021-04-07 21:20:48,2021-04-07 20:32:44
2021-04-07 21:21:02,2021-04-07 21:21:03,2021-04-07 18:47:34
2021-04-07 21:25:57,2021-04-07 21:25:58,2021-04-07 20:41:27
2021-04-07 21:26:45,2021-04-07 21:26:45,2021-04-07 20:07:45
2021-04-07 21:27:28,2021-04-07 21:27:28,2021-04-07 19:41:33
2021-04-07 21:28:04,2021-04-07 21:28:05,2021-04-07 18:58:09
2021-04-07 21:28:26,2021-04-07 21:28:26,2021-04-07 19:49:07
2021-04-07 21:29:08,2021-04-07 21:29:09,2021-04-07 19:57:45
2021-04-07 21:31:14,2021-04-07 21:31:15,2021-04-07 19:55:34
2021-04-07 21:35:12,2021-04-07 21:35:12,2021-04-07 20:52:48
2021-04-07 21:36:44,2021-04-07 21:36:45,2021-04-07 20:50:07
2021-04-07 21:38:40,2021-04-07 21:38:41,2021-04-07 19:38:10
2021-03-31 21:42:05,2021-04-07 21:42:07,2021-03-31 21:39:42
2021-04-07 21:42:39,2021-04-07 21:42:40,2021-04-07 20:08:51
2021-04-07 21:43:13,2021-04-07 21:43:14,2021-04-07 18:43:16
2021-04-07 21:49:54,2021-04-07 21:49:55,2021-04-07 20:47:39
2021-04-07 21:53:52,2021-04-07 21:53:52,2021-04-07 21:17:10
2021-04-07 21:56:42,2021-04-07 21:56:42,2021-04-07 20:42:44
2021-03-31 22:00:09,2021-04-07 22:00:11,2021-03-31 21:11:55
2021-04-07 22:00:51,2021-04-07 22:00:52,2021-04-07 20:48:50
2021-04-07 22:02:06,2021-04-07 22:02:07,2021-04-07 18:58:21
2021-04-07 22:02:19,2021-04-07 22:02:20,2021-04-07 19:01:30
2021-04-07 22:02:23,2021-04-07 22:02:24,2021-04-07 20:42:55
2021-03-31 22:03:52,2021-04-07 22:03:53,2021-03-31 21:52:02
2021-04-07 22:04:10,2021-04-07 22:04:11,2021-04-07 21:13:43
2021-04-07 22:04:34,2021-04-07 22:04:35,2021-04-07 20:57:20
2021-03-31 22:05:35,2021-04-07 22:05:37,2021-03-31 21:54:28
2021-04-07 22:08:44,2021-04-07 22:08:45,2021-04-07 20:48:33
2021-04-07 22:08:58,2021-04-07 22:08:58,2021-04-07 21:26:40
2021-04-07 22:13:31,2021-04-07 22:13:32,2021-04-07 18:52:40
2021-04-07 22:17:18,2021-04-07 22:17:18,2021-04-07 21:20:36
2021-04-07 22:20:43,2021-04-07 22:20:44,2021-04-07 20:28:06
2021-04-07 22:26:45,2021-04-07 22:26:46,2021-04-07 21:40:44
2021-03-31 22:28:57,2021-04-07 22:29:07,2021-03-31 20:40:15
2021-03-31 22:30:58,2021-04-07 22:30:59,2021-03-31 22:19:31
2021-04-07 22:32:16,2021-04-07 22:32:17,2021-04-07 18:45:19
2021-04-07 22:37:54,2021-04-07 22:37:54,2021-04-07 22:01:16
2021-04-07 22:41:28,2021-04-07 22:41:28,2021-04-07 20:04:40
2021-03-31 22:50:45,2021-04-07 22:50:47,2021-03-31 22:44:57
2021-04-07 22:51:21,2021-04-07 22:51:22,2021-04-07 19:42:30
2021-04-07 22:52:09,2021-04-07 22:52:10,2021-04-07 21:41:07
2021-04-07 22:53:58,2021-04-07 22:53:59,2021-04-07 22:14:12
2021-04-07 22:56:14,2021-04-07 22:56:14,2021-04-07 20:56:23
2021-04-07 23:02:19,2021-04-07 23:02:20,2021-04-07 19:43:40
2021-03-31 23:02:26,2021-04-07 23:02:31,2021-03-31 22:00:20
2021-04-07 23:05:43,2021-04-07 23:05:44,2021-04-07 22:20:30
2021-04-07 23:10:22,2021-04-07 23:10:23,2021-04-07 19:06:49
2021-03-31 23:13:24,2021-04-07 23:13:26,2021-03-31 23:13:01
2021-04-07 23:18:26,2021-04-07 23:18:27,2021-04-07 11:59:15
2021-04-07 23:24:28,2021-04-07 23:24:29,2021-04-07 22:34:19
2021-03-31 23:24:52,2021-04-07 23:24:59,2021-03-31 23:23:14
2021-04-07 23:32:17,2021-04-07 23:32:18,2021-04-07 22:40:58
2021-03-31 23:38:42,2021-04-07 23:38:43,2021-03-31 23:24:14
2021-04-07 23:43:10,2021-04-07 23:43:11,2021-04-07 18:56:37
2021-04-07 23:44:06,2021-04-07 23:44:07,2021-04-07 18:43:34
2021-04-07 23:51:44,2021-04-07 23:51:45,2021-04-07 18:43:33
2021-04-07 23:52:45,2021-04-07 23:52:45,2021-04-07 22:21:01
2021-04-07 23:56:03,2021-04-07 23:56:04,2021-04-07 22:59:07
2021-04-08 00:00:44,2021-04-08 00:00:45,2021-04-07 23:07:27
2021-04-08 00:14:20,2021-04-08 00:14:20,2021-04-07 23:18:13
2021-04-01 00:16:33,2021-04-08 00:16:35,2021-03-31 23:20:53
2021-04-08 00:25:19,2021-04-08 00:25:20,2021-04-07 23:26:57
2021-04-08 00:27:36,2021-04-08 00:27:37,2021-04-07 23:06:28
2021-04-08 00:31:39,2021-04-08 00:31:39,2021-04-07 20:26:18
2021-04-08 00:43:04,2021-04-08 00:43:05,2021-04-07 18:43:32
2021-04-08 00:49:01,2021-04-08 00:49:01,2021-04-07 23:41:23
