,time_of_day,dob,student_status,RC_1,RC_2,RC_3,RC_4,RC_5,Diff_timing,Diff_found,Diff_found_list,M_1,M_2,M_3,M_4,M_5,M_6,M_7,M_8,M_9,M_10,M_11,M_12,M_13,M_14,M_15,M_16,Pattern_1,Liar_check,group,RC_score,Diff_score,M_score,Pattern_score,Liar_score,Big_liar_score,nighttime,Score
67,22,1999,Undergraduate Student,0,1,1,0,1,65.017,7,"pencil,",1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,dark_mode,0.75,0.4666666666666667,0.8125,1,0.5,1,True,0.7572916666666667
68,23,1998,Undergraduate Student,0,0,0,1,0,64.912,5,beak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,dark_mode,0.0,0.3333333333333333,0.0,1,1.0,1,True,0.3333333333333333
69,5,1997,Undergraduate Student,1,0,0,1,0,104.506,8,"The details between the two drawings are slightly different with its patterns, etc.",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,dark_mode,0.25,0.5333333333333333,1.0,1,1.0,1,True,0.6958333333333333
70,15,2000,Undergraduate Student,1,1,0,1,0,65.038,2,bubbles,1,1,1,1,1,0,0,1,1,0,0,1,1,1,0,0,0,1,dark_mode,0.5,0.13333333333333333,0.625,0,1.0,1,False,0.3145833333333333
71,18,1999,Undergraduate Student,0,0,0,0,1,58.641,3,"pencil tip, robot, rocket",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,dark_mode,0.25,0.2,0.125,0,0.5,1,False,0.14375
72,18,2000,Undergraduate Student,0,0,1,0,1,39.837,30,"tongu, pattern, missing, rocket, designs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,dark_mode,0.5,2.0,0.0,0,0.5,1,False,0.625
73,18,2001,Undergraduate Student,1,1,0,1,0,130.021,4,"heart, cat sweat, lizard tongue, light stick circle",1,0,1,1,0,0,0,0,1,1,1,1,0,1,1,0,1,1,dark_mode,0.5,0.26666666666666666,0.5625,1,1.0,1,False,0.5822916666666667
74,18,2002,Undergraduate Student,0,0,0,1,0,35.707,1,No firework in 2nd,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,dark_mode,0.0,0.06666666666666667,0.0625,1,0.5,0,False,0.28229166666666666
75,18,1994,Undergraduate Student,0,0,0,0,0,58.05,2,"lever, firecracker",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,dark_mode,0.0,0.13333333333333333,0.0,0,0.5,1,False,0.03333333333333333
76,18,2001,Undergraduate Student,0,1,0,0,0,65.009,4,"center claw, joystick, left rocket, ",0,0,1,1,0,0,1,1,1,0,1,1,0,1,1,0,0,1,dark_mode,0.25,0.26666666666666666,0.5625,0,0.5,1,False,0.26979166666666665
77,18,1998,Undergraduate Student,0,1,1,0,0,130.021,6,"circles, rocket, cir",1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,dark_mode,0.5,0.4,0.3125,1,0.5,1,False,0.553125
78,18,2000,Undergraduate Student,1,1,1,0,0,130.122,6,"circle,blob,dots,star,arrow,blob",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,dark_mode,0.75,0.4,0.0625,0,0.5,1,False,0.303125
79,18,2001,Undergraduate Student,1,1,1,1,1,130.017,8,"lizard, rocket, lamp, lightbulb, globe, pencil",0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1,1,dark_mode,1.0,0.5333333333333333,0.375,1,1.0,1,False,0.7270833333333333
80,18,1998,Graduate Student,1,0,0,0,0,65.018,5,pattern,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,dark_mode,0.25,0.3333333333333333,0.6875,0,0.0,0,False,0.3177083333333333
81,19,2000,Undergraduate Student,1,1,0,0,1,130.225,11,"scales, ball, monster, scales, glove, speckles, tongue, bellybutton, ",1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,0,0,1,dark_mode,0.75,0.7333333333333333,0.625,0,0.5,1,False,0.5270833333333333
83,19,1998,Undergraduate Student,1,0,0,0,1,65.014,8,odd,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,dark_mode,0.5,0.5333333333333333,0.1875,1,0.5,1,False,0.5552083333333333
86,19,1999,Undergraduate Student,1,1,1,1,1,65.01,4,"bulb, heart, star, firework",1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,dark_mode,1.0,0.26666666666666666,0.5,1,1.0,1,False,0.6916666666666667
87,19,1999,Undergraduate Student,1,0,1,1,0,53.946,1,"Cameleon’s tongue,",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,dark_mode,0.5,0.06666666666666667,0.0625,0,1.0,1,False,0.15729166666666666
88,19,2002,Undergraduate Student,1,1,0,1,0,95.142,3,"taco, heart, rocket",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,dark_mode,0.5,0.2,0.1875,1,1.0,1,False,0.471875
89,19,2002,Undergraduate Student,0,1,1,0,1,65.11,4,"heart,stick,",1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,dark_mode,0.75,0.26666666666666666,0.9375,1,0.5,1,False,0.7385416666666667
90,19,2002,Undergraduate Student,1,1,1,0,1,110.702,7,"claw, heart, star, globe, tweezer?",1,1,1,1,0,0,0,1,1,1,1,1,0,0,1,1,1,1,dark_mode,1.0,0.4666666666666667,0.6875,1,0.5,1,False,0.7885416666666667
91,20,1999,Undergraduate Student,0,1,1,1,1,130.118,6,"ball,star,rocket,clouds,scale, fin",0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,1,1,dark_mode,0.75,0.4,0.375,1,1.0,1,True,0.63125
92,19,1997,Undergraduate Student,1,0,0,0,0,179.026,2,"Rocket, bubble",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,dark_mode,0.25,0.13333333333333333,0.125,0,0.5,1,False,0.12708333333333333
93,19,2001,Undergraduate Student,1,1,1,1,0,65.022,3,"rocket, pencil",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,dark_mode,0.75,0.2,0.0,1,1.0,1,False,0.4875
95,19,1999,Undergraduate Student,1,0,1,0,0,65.009,1,rocket,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,1,dark_mode,0.5,0.06666666666666667,0.375,0,0.5,1,False,0.23541666666666666
