EndDate,RecordedDate,StartDate
End Date,Recorded Date,Start Date
"{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""startDate"",""timeZone"":""America/Denver""}"
4/7/2021 23:52,4/7/2021 23:52,4/7/2021 22:21
4/7/2021 23:56,4/7/2021 23:56,4/7/2021 22:59
4/8/2021 0:00,4/8/2021 0:00,4/7/2021 23:07
4/8/2021 0:14,4/8/2021 0:14,4/7/2021 23:18
4/1/2021 0:16,4/8/2021 0:16,3/31/2021 23:20
4/8/2021 0:25,4/8/2021 0:25,4/7/2021 23:26
4/8/2021 0:27,4/8/2021 0:27,4/7/2021 23:06
4/8/2021 0:31,4/8/2021 0:31,4/7/2021 20:26
4/8/2021 0:43,4/8/2021 0:43,4/7/2021 18:43
4/8/2021 0:49,4/8/2021 0:49,4/7/2021 23:41
4/8/2021 1:31,4/8/2021 1:31,4/7/2021 20:38
4/8/2021 1:41,4/8/2021 1:41,4/8/2021 0:41
4/8/2021 2:32,4/8/2021 2:32,4/8/2021 1:22
4/1/2021 3:12,4/8/2021 3:12,4/1/2021 2:58
4/8/2021 3:19,4/8/2021 3:19,4/7/2021 7:46
4/1/2021 3:34,4/8/2021 3:34,4/1/2021 3:27
4/1/2021 5:38,4/8/2021 5:38,4/1/2021 5:37
4/1/2021 5:50,4/8/2021 5:50,4/1/2021 5:36
4/1/2021 5:59,4/8/2021 5:59,4/1/2021 5:58
4/1/2021 6:16,4/8/2021 6:16,4/1/2021 5:39
4/1/2021 7:24,4/8/2021 7:24,4/1/2021 6:26
4/1/2021 7:32,4/8/2021 7:32,4/1/2021 7:00
4/8/2021 8:20,4/8/2021 8:20,4/7/2021 22:32
4/8/2021 8:40,4/8/2021 8:40,4/7/2021 18:41
4/8/2021 10:38,4/8/2021 10:38,4/7/2021 19:10
4/8/2021 11:02,4/8/2021 11:02,4/8/2021 9:56
4/8/2021 11:16,4/8/2021 11:16,4/8/2021 10:04
4/8/2021 11:45,4/8/2021 11:45,4/8/2021 11:11
4/8/2021 11:46,4/8/2021 11:46,4/7/2021 18:30
4/1/2021 11:56,4/8/2021 11:56,4/1/2021 11:19
4/8/2021 13:29,4/8/2021 13:29,4/8/2021 12:13
4/8/2021 13:38,4/8/2021 13:38,4/8/2021 12:50
4/8/2021 13:56,4/8/2021 13:56,4/8/2021 13:03
4/8/2021 15:07,4/8/2021 15:07,4/7/2021 19:58
4/1/2021 17:03,4/8/2021 17:03,4/1/2021 17:02
4/8/2021 17:36,4/8/2021 17:36,4/8/2021 16:05
4/8/2021 18:30,4/8/2021 18:30,4/8/2021 17:31
4/8/2021 19:39,4/8/2021 19:39,4/7/2021 19:13
4/8/2021 20:28,4/8/2021 20:28,4/6/2021 19:48
4/8/2021 20:38,4/8/2021 20:38,4/8/2021 19:32
4/8/2021 22:19,4/8/2021 22:19,4/8/2021 21:14
4/8/2021 22:31,4/8/2021 22:31,4/8/2021 20:51
4/8/2021 22:37,4/8/2021 22:37,4/8/2021 20:40
4/9/2021 3:38,4/9/2021 3:38,4/9/2021 2:25
4/9/2021 3:50,4/9/2021 3:50,4/9/2021 3:08
4/9/2021 3:57,4/9/2021 3:57,4/8/2021 23:18
4/9/2021 4:07,4/9/2021 4:07,4/9/2021 3:21
4/9/2021 12:05,4/9/2021 12:05,4/9/2021 0:25
4/9/2021 16:30,4/9/2021 16:30,4/9/2021 15:10
4/9/2021 18:52,4/9/2021 18:52,4/9/2021 17:50
4/9/2021 23:39,4/9/2021 23:39,4/9/2021 22:12
4/10/2021 0:05,4/10/2021 0:05,4/7/2021 19:38
4/10/2021 13:53,4/10/2021 13:53,4/8/2021 23:32
4/10/2021 15:52,4/10/2021 15:52,4/10/2021 15:16
4/10/2021 19:19,4/10/2021 19:19,4/7/2021 18:51
4/11/2021 14:24,4/11/2021 14:24,4/8/2021 15:42
4/11/2021 15:44,4/11/2021 15:44,4/8/2021 19:12
4/11/2021 19:48,4/11/2021 19:48,4/11/2021 18:26
4/11/2021 21:32,4/11/2021 21:32,4/11/2021 20:35
4/11/2021 23:18,4/11/2021 23:18,4/11/2021 21:44
